firstNmae,lastName,email,birthDate,basicSalary,status,group
Wiggins,Pacheco,wigginspacheco@vixo.com,1449804629243,3225.17,40,blue
Claudine,Mosley,claudinemosley@vixo.com,1548436474067,2858.88,22,green
Klein,Munoz,kleinmunoz@vixo.com,1540359007423,3598.79,37,blue
Noemi,Whitfield,noemiwhitfield@vixo.com,1583781912553,2176.39,36,brown
Cooke,Hardin,cookehardin@vixo.com,1594260517917,2328.54,30,brown
Pearl,Santiago,pearlsantiago@vixo.com,1408622672429,3092.14,36,brown
Lavonne,Vargas,lavonnevargas@vixo.com,1563574779462,2523.71,35,green
Fox,Stephenson,foxstephenson@vixo.com,1482358024917,3643.44,22,blue
Duffy,Waters,duffywaters@vixo.com,1541140727187,1574.56,32,blue
Allen,Washington,allenwashington@vixo.com,1402281685385,1588.58,22,green
Mayer,Cooke,mayercooke@vixo.com,1558713730547,1379.05,32,blue
Marcia,Garcia,marciagarcia@vixo.com,1548127673712,2307.19,29,blue
Allison,Mcmillan,allisonmcmillan@vixo.com,1441775851212,2786.95,28,green
Evelyn,Wilson,evelynwilson@vixo.com,1451505807346,1045.41,39,brown
Jordan,Craft,jordancraft@vixo.com,1460991103012,1287.77,35,brown
Becker,Forbes,beckerforbes@vixo.com,1427452743412,3022.14,35,brown
Chelsea,Walter,chelseawalter@vixo.com,1401534460736,3761.69,37,brown
Berger,Raymond,bergerraymond@vixo.com,1605791096850,1037.5,21,brown
Murray,Lang,murraylang@vixo.com,1432921089048,1955.15,36,brown
